run_index,seed,baseline_csv_dir,whatif_csv_dir,baseline_run_id,whatif_run_id,baseline_scenario_id,whatif_scenario_id
21,21,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_21,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_21,9cf9f84eb50e,cdcadc616fe9,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R21
22,22,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_22,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_22,5c70f9bc86fe,790a67fe08d6,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R22
23,23,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_23,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_23,3d6a95e3b001,4e4042cee295,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R23
24,24,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_24,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_24,b10cadb33bc5,ed8239c1e80f,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R24
25,25,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_25,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_25,b13f935270b7,20236b3d3f05,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R25
26,26,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_26,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_26,ac1e25152e5f,8caa5fc7e527,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R26
27,27,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_27,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_27,a1d487d3c6a6,2b0babad71ce,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R27
28,28,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_28,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_28,b6061be93b79,42d392447fde,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R28
29,29,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_29,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_29,c5f49c870231,eaf0a6575e47,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R29
30,30,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_30,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_30,9235f76707b2,cc42ab7d478b,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R30
